Brand,Name,Price,Image,Link
Infinix,"Infinix SMART 6 PLUS - 6,82"" - 4G/DS - 2/64 GB - X6823 - Miracle Black",349.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/0647/1.jpg?6826,https://www.jumia.com.tn/smartphones/infinix-smart-6-plus-682-4gds-264-gb-x6823-miracle-black-746040.html
Infinix,"Infinix SMART 6 PLUS - 6,82"" - 4G/DS - 2/64 GB - X6823 - Crystal Violet",349.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/0647/1.jpg?6886,https://www.jumia.com.tn/smartphones/infinix-smart-6-plus-682-4gds-264-gb-x6823-crystal-violet-746041.html
Itel,"Itel P38 - 6.52"" - 2Go - 32Go - 6.5"" -5000mAH + Pochette et Anticasse - Blue - Garantie 1 An",283.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/0147/1.jpg?5986,https://www.jumia.com.tn/smartphones/itel-p38-6.52-2go-32go-6.5-5000mah-pochette-et-anticasse-blue-garantie-1-an-741086.html
Oppo,"Oppo A17 6.56"" 4 - 64 Gb Noir -5000 mAh - Garantie 1 An",562.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/7086/1.jpg?8007,https://www.jumia.com.tn/smartphones/oppo-a17-6.56-4-64-gb-noir-5000-mah-garantie-1-an-680768.html
Oppo,"Oppo A17 6.56"" 4 - 64 Gb Bleu -5000 mAh - Garantie 1 An",562.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/7086/1.jpg?8445,https://www.jumia.com.tn/smartphones/oppo-a17-6.56-4-64-gb-bleu-5000-mah-garantie-1-an-680766.html
Smart,"Smart E1 - 6.1"" - 2Go - 16Go - Bleu - Garantie 1 an",249.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/9766/1.jpg?2990,https://www.jumia.com.tn/smartphones/smart-e1-6.1-2go-16go-bleu-garantie-1-an-667903.html
Samsung,"Samsung Galaxy A03 Core 6,5"" HD+ 2- 32 Go - Bronze - Garantie 1 an",406.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/7717/1.jpg?8167,https://www.jumia.com.tn/smartphones/samsung-galaxy-a03-core-65-hd-2-32-go-bronze-garantie-1-an-717733.html
Infinix,"Infinix Smart 7 - 6,6"" - 7GB (4+3) Ram - 64 GB - Noir- Garantie 1 an",397.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/0817/1.jpg?1548,https://www.jumia.com.tn/smartphones/infinix-smart-7-66-7gb-43-ram-64-gb-noir-garantie-1-an-718069.html
Infinix,"Infinix Smart 7 - 6,6"" - 4GB (Up to 7GB) - 64 GB - Iceland White - Garantie 1 an",379.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/0647/1.jpg?5987,https://www.jumia.com.tn/smartphones/infinix-smart-7-66-4gb-up-to-7gb-64-gb-iceland-white-garantie-1-an-746035.html
Infinix,"Infinix Smart 7 - 6,6"" - 4GB (Up to 7GB) - 64 GB - Polar Black - Garantie 1 an",379.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/0647/1.jpg?5965,https://www.jumia.com.tn/smartphones/infinix-smart-7-66-4gb-up-to-7gb-64-gb-polar-black-garantie-1-an-746034.html
